epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3082.55,0.78275,0.55082,1.2293,0.90666,0.88489,0.94162,0.68056,0.79832,0.51789,1.01264,7.89327e-05,7.89327e-05,7.89327e-05
85,3121.62,0.78332,0.56855,1.21484,0.96089,0.84892,0.9437,0.68684,0.77996,0.5382,0.995,7.12282e-05,7.12282e-05,7.12282e-05
86,3169.71,0.67021,0.38615,1.13694,0.96688,0.84009,0.94634,0.68357,0.82483,0.54481,1.03525,6.39518e-05,6.39518e-05,6.39518e-05
87,3209.62,0.64701,0.36797,1.09856,0.91032,0.8763,0.94457,0.68335,0.80261,0.57958,1.01931,5.71106e-05,5.71106e-05,5.71106e-05
88,3249.02,0.6337,0.35997,1.09951,0.95883,0.83771,0.94234,0.68189,0.80011,0.5242,1.0201,5.07115e-05,5.07115e-05,5.07115e-05
89,3289.3,0.64356,0.36666,1.09895,0.89794,0.88617,0.94461,0.68018,0.814,0.49927,1.02636,4.47606e-05,4.47606e-05,4.47606e-05
90,3328.94,0.61296,0.35994,1.08582,0.9124,0.8777,0.94552,0.68306,0.80951,0.51383,1.0251,3.9264e-05,3.9264e-05,3.9264e-05
91,3368.24,0.61801,0.35352,1.09919,0.91727,0.87739,0.94128,0.68659,0.7835,0.48319,1.01922,3.4227e-05,3.4227e-05,3.4227e-05
92,3407.2,0.63848,0.36356,1.09477,0.91446,0.88489,0.94528,0.68399,0.79428,0.49822,1.02193,2.96546e-05,2.96546e-05,2.96546e-05
93,3447.21,0.64314,0.36031,1.11999,0.91686,0.88489,0.94586,0.69171,0.80168,0.49775,1.02156,2.55513e-05,2.55513e-05,2.55513e-05
94,3486.55,0.63121,0.36253,1.09494,0.91939,0.8777,0.94761,0.68893,0.81359,0.48613,1.03558,2.19212e-05,2.19212e-05,2.19212e-05
95,3526.21,0.62852,0.36674,1.11599,0.91995,0.86331,0.94492,0.68399,0.82398,0.48064,1.04543,1.87678e-05,1.87678e-05,1.87678e-05
96,3565.81,0.62276,0.356,1.09406,0.8974,0.88092,0.94465,0.68211,0.82569,0.47679,1.04818,1.60943e-05,1.60943e-05,1.60943e-05
97,3605.35,0.59709,0.34628,1.06313,0.90247,0.8777,0.94507,0.69147,0.80533,0.47801,1.02944,1.39032e-05,1.39032e-05,1.39032e-05
98,3644.98,0.60548,0.34964,1.07522,0.89676,0.87488,0.94374,0.68118,0.80907,0.48816,1.03429,1.21968e-05,1.21968e-05,1.21968e-05
99,3683.57,0.61208,0.35453,1.08712,0.88435,0.8777,0.94217,0.68432,0.81142,0.48761,1.03204,1.09768e-05,1.09768e-05,1.09768e-05
100,3723.5,0.61875,0.34921,1.07367,0.89574,0.8777,0.94353,0.68605,0.80969,0.48441,1.02611,1.02443e-05,1.02443e-05,1.02443e-05
