epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4790.76,1.09271,0.54431,1.41549,0.90851,0.87774,0.93585,0.51258,1.64182,0.80686,2.80636,0.000427313,0.000427313,0.000427313
79,4905.11,1.06624,0.53938,1.42437,0.88543,0.89636,0.93456,0.50641,1.64905,0.81461,2.78929,0.000419547,0.000419547,0.000419547
80,5017.64,1.08883,0.53015,1.41348,0.9073,0.87931,0.93479,0.50207,1.65954,0.82234,2.86015,0.000411775,0.000411775,0.000411775
81,5130.73,1.07608,0.5488,1.41556,0.89782,0.88871,0.9307,0.49711,1.66785,0.80012,2.89218,0.000404,0.000404,0.000404
82,5244.41,1.06434,0.52855,1.40721,0.9005,0.87461,0.93586,0.50959,1.64488,0.80633,2.83716,0.000396225,0.000396225,0.000396225
83,5358.77,1.06716,0.5459,1.40868,0.90035,0.87618,0.93897,0.50895,1.63876,0.8129,2.83415,0.000388453,0.000388453,0.000388453
84,5471.77,1.05297,0.52701,1.38786,0.8957,0.90187,0.94193,0.50283,1.63843,0.81502,2.82132,0.000380687,0.000380687,0.000380687
85,5585.23,1.04854,0.51259,1.37783,0.92964,0.86985,0.94012,0.49984,1.65776,0.81898,2.87659,0.00037293,0.00037293,0.00037293
86,5697.51,1.05609,0.53323,1.3872,0.90394,0.84013,0.92883,0.49268,1.65381,0.84149,2.80599,0.000365185,0.000365185,0.000365185
87,5814.52,1.0427,0.51703,1.36669,0.91337,0.83856,0.92844,0.49369,1.67496,0.84955,2.85102,0.000357455,0.000357455,0.000357455
88,5929.16,1.03231,0.51304,1.36144,0.92969,0.84972,0.9323,0.50918,1.63728,0.84174,2.83997,0.000349743,0.000349743,0.000349743
89,6044.45,1.03026,0.50736,1.35392,0.89318,0.81254,0.90647,0.47904,1.70417,0.94924,2.84874,0.000342052,0.000342052,0.000342052
90,6159.33,1.03043,0.51458,1.35657,0.88345,0.81034,0.90697,0.48019,1.68994,0.93781,2.7856,0.000334385,0.000334385,0.000334385
91,6274.03,1.01858,0.50321,1.34226,0.92522,0.84639,0.92514,0.50648,1.65311,0.85344,2.80346,0.000326744,0.000326744,0.000326744
92,6388.36,1.02198,0.50601,1.34629,0.91753,0.85446,0.93952,0.51318,1.6303,0.80987,2.78629,0.000319134,0.000319134,0.000319134
93,6504.03,1.0091,0.50039,1.34058,0.93324,0.83258,0.93064,0.49864,1.66571,0.86025,2.85308,0.000311556,0.000311556,0.000311556
94,6617.03,1.00344,0.50628,1.32497,0.91992,0.86421,0.93647,0.50803,1.63752,0.83743,2.89575,0.000304013,0.000304013,0.000304013
95,6734.14,1.02175,0.50985,1.34407,0.91741,0.87049,0.93975,0.51318,1.63117,0.82572,2.83135,0.00029651,0.00029651,0.00029651
96,6849.66,1.00361,0.49066,1.32123,0.91859,0.86991,0.94408,0.51503,1.64319,0.81742,2.87858,0.000289047,0.000289047,0.000289047
97,6966.43,1.00268,0.49282,1.31791,0.93741,0.87461,0.94926,0.50514,1.65226,0.79632,2.89868,0.000281629,0.000281629,0.000281629
98,7082.9,0.99608,0.49803,1.30415,0.9022,0.87618,0.9386,0.51245,1.64391,0.81707,2.90507,0.000274258,0.000274258,0.000274258
99,7198.28,0.97615,0.48169,1.29269,0.93209,0.84483,0.93328,0.50655,1.6354,0.822,2.87141,0.000266938,0.000266938,0.000266938
100,122.759,0.96607,0.4747,1.36755,0.93944,0.82662,0.93016,0.50706,1.6603,0.84167,2.90571,0.00025967,0.00025967,0.00025967
101,230.561,0.99418,0.49382,1.3062,0.90661,0.8511,0.92868,0.50538,1.65273,0.8677,2.91173,0.000252457,0.000252457,0.000252457
102,337.965,0.98188,0.47701,1.27272,0.90762,0.87304,0.93282,0.51835,1.62602,0.83608,2.91549,0.000245303,0.000245303,0.000245303
103,446.14,0.97427,0.46912,1.26891,0.92223,0.87359,0.93873,0.52172,1.63315,0.83845,2.91615,0.000238211,0.000238211,0.000238211
104,553.852,0.96137,0.47424,1.27371,0.93019,0.85627,0.93206,0.51863,1.62288,0.81447,2.94837,0.000231182,0.000231182,0.000231182
105,663.544,0.94145,0.46169,1.28424,0.93142,0.87276,0.93767,0.5131,1.63527,0.82857,2.95833,0.00022422,0.00022422,0.00022422
106,771.528,0.9477,0.4613,1.2661,0.9459,0.84952,0.93632,0.52815,1.62105,0.81666,2.90729,0.000217327,0.000217327,0.000217327
107,879.37,0.93902,0.46234,1.25997,0.93957,0.84326,0.9377,0.52438,1.63098,0.83153,2.97029,0.000210506,0.000210506,0.000210506
108,987.358,0.94924,0.46391,1.25077,0.93375,0.8652,0.94378,0.52755,1.62777,0.81201,2.94757,0.00020376,0.00020376,0.00020376
109,1097.72,0.93914,0.45773,1.25011,0.93586,0.8558,0.93895,0.52575,1.61416,0.80939,2.90294,0.000197091,0.000197091,0.000197091
110,1211.31,0.93482,0.45603,1.24314,0.93472,0.86677,0.94719,0.52412,1.61064,0.78281,2.93804,0.000190501,0.000190501,0.000190501
111,1319.42,0.92642,0.45478,1.24159,0.92537,0.87774,0.9472,0.53631,1.60193,0.80322,2.94728,0.000183994,0.000183994,0.000183994
112,1429.61,0.92779,0.44883,1.23677,0.92865,0.85686,0.93988,0.53299,1.60817,0.81075,2.9849,0.000177572,0.000177572,0.000177572
113,1540.44,0.92942,0.44576,1.23007,0.93504,0.85727,0.94067,0.52511,1.62195,0.8158,2.99785,0.000171237,0.000171237,0.000171237
114,1651.78,0.92186,0.44845,1.22382,0.91579,0.86933,0.93755,0.52893,1.60399,0.83111,3.01097,0.000164992,0.000164992,0.000164992
115,1763.09,0.91786,0.44254,1.22499,0.91458,0.87774,0.93132,0.5228,1.62428,0.82251,3.08434,0.000158839,0.000158839,0.000158839
116,1874.28,0.92018,0.44853,1.2134,0.918,0.88871,0.94224,0.5263,1.62079,0.80457,3.07673,0.00015278,0.00015278,0.00015278
117,1985.36,0.91532,0.43365,1.2174,0.92899,0.86122,0.94429,0.53016,1.61265,0.78219,3.05341,0.000146819,0.000146819,0.000146819
118,2097.32,0.89673,0.44186,1.20319,0.94077,0.84643,0.94012,0.52712,1.60869,0.8046,3.06898,0.000140956,0.000140956,0.000140956
119,2206.81,0.9097,0.44052,1.19564,0.93268,0.85423,0.93736,0.52827,1.60478,0.81408,3.06912,0.000135195,0.000135195,0.000135195
120,2318.12,0.89593,0.43861,1.21043,0.94907,0.84796,0.93475,0.52394,1.60493,0.81205,3.04571,0.000129537,0.000129537,0.000129537
121,2428.28,0.90159,0.44318,1.20034,0.9404,0.86558,0.93996,0.52378,1.60131,0.81434,3.04939,0.000123986,0.000123986,0.000123986
122,2538.47,0.89162,0.4325,1.19614,0.90338,0.89342,0.9445,0.52224,1.60787,0.78898,3.06021,0.000118542,0.000118542,0.000118542
123,2649.31,0.88564,0.43035,1.19318,0.9186,0.86676,0.94237,0.52421,1.61414,0.78478,3.07712,0.000113208,0.000113208,0.000113208
124,2760.15,0.87601,0.4254,1.17539,0.93149,0.8558,0.94112,0.52322,1.62009,0.79285,3.09709,0.000107987,0.000107987,0.000107987
125,2872.14,0.88608,0.43143,1.17336,0.92396,0.88558,0.94676,0.52326,1.62183,0.79344,3.11188,0.000102879,0.000102879,0.000102879
126,2982.54,0.89035,0.42717,1.18714,0.94256,0.8652,0.95146,0.52914,1.62543,0.7788,3.13395,9.78879e-05,9.78879e-05,9.78879e-05
127,3092.33,0.87526,0.42545,1.17354,0.93576,0.86766,0.94463,0.52887,1.62857,0.78795,3.14697,9.30145e-05,9.30145e-05,9.30145e-05
128,3203.9,0.87879,0.42347,1.17437,0.91238,0.88871,0.94209,0.52944,1.62427,0.78973,3.12968,8.8261e-05,8.8261e-05,8.8261e-05
129,3315.29,0.87026,0.42685,1.17015,0.943,0.84953,0.94089,0.52357,1.62618,0.79565,3.12459,8.36293e-05,8.36293e-05,8.36293e-05
130,3429.04,0.8822,0.42049,1.16341,0.92574,0.87934,0.94613,0.52895,1.61878,0.78537,3.13468,7.9121e-05,7.9121e-05,7.9121e-05
131,3540.1,0.87296,0.41977,1.15851,0.94518,0.86834,0.95186,0.53235,1.61909,0.77514,3.16396,7.4738e-05,7.4738e-05,7.4738e-05
132,3655.2,0.87407,0.4204,1.15704,0.92948,0.88829,0.95082,0.53094,1.61826,0.79919,3.15888,7.0482e-05,7.0482e-05,7.0482e-05
133,3767.45,0.86325,0.41449,1.16415,0.94817,0.86834,0.95282,0.53154,1.61549,0.7876,3.158,6.63545e-05,6.63545e-05,6.63545e-05
134,3882.01,0.86414,0.40632,1.14695,0.94699,0.87147,0.95315,0.53007,1.61274,0.80001,3.13696,6.23572e-05,6.23572e-05,6.23572e-05
135,3999.29,0.87257,0.42073,1.15346,0.92177,0.88642,0.95011,0.5341,1.6101,0.8013,3.13075,5.84916e-05,5.84916e-05,5.84916e-05
136,4111.53,0.85398,0.41253,1.15681,0.91639,0.88871,0.94709,0.53341,1.61262,0.79753,3.16188,5.47592e-05,5.47592e-05,5.47592e-05
137,4224.14,0.86534,0.42082,1.1578,0.92419,0.87931,0.94265,0.53017,1.6177,0.80137,3.16132,5.11614e-05,5.11614e-05,5.11614e-05
138,4341.79,0.85798,0.41628,1.1535,0.92874,0.87841,0.94304,0.53096,1.61819,0.81914,3.17298,4.76997e-05,4.76997e-05,4.76997e-05
139,4455.71,0.85547,0.42041,1.14857,0.94671,0.86677,0.94366,0.53257,1.61352,0.81675,3.18705,4.43753e-05,4.43753e-05,4.43753e-05
140,4569.74,0.85466,0.41062,1.1345,0.93858,0.86227,0.94061,0.52956,1.61419,0.82778,3.18705,4.11896e-05,4.11896e-05,4.11896e-05
141,4692.82,0.90126,0.31367,0.97151,0.93567,0.86632,0.94195,0.52955,1.61337,0.83153,3.20235,3.81437e-05,3.81437e-05,3.81437e-05
142,4805.9,0.88792,0.31246,0.97013,0.93171,0.87147,0.94025,0.52947,1.61487,0.83661,3.21168,3.52389e-05,3.52389e-05,3.52389e-05
143,4919.03,0.88602,0.3111,0.96191,0.92734,0.88022,0.94332,0.53314,1.61217,0.83136,3.21664,3.24762e-05,3.24762e-05,3.24762e-05
144,5031.7,0.89189,0.31095,0.95901,0.93752,0.87021,0.94474,0.53249,1.61304,0.83449,3.2262,2.98568e-05,2.98568e-05,2.98568e-05
145,5145.84,0.89236,0.31141,0.95919,0.94438,0.8605,0.94172,0.53311,1.61297,0.83861,3.23055,2.73816e-05,2.73816e-05,2.73816e-05
146,5258.89,0.88693,0.31095,0.96064,0.93357,0.87304,0.94259,0.53403,1.61617,0.84351,3.24668,2.50516e-05,2.50516e-05,2.50516e-05
